Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
8,8,9,frère,brother
9,9,10,laisser,let
10,10,11,car,because
11,11,12,mettre,to put
12,12,13,aucun,no
13,13,14,laisse,leash
14,15,16,ville,city
15,16,17,chaque,each
16,17,18,parlé,speak
17,18,19,arrivé,come
18,19,20,devrait,should
19,20,21,bébé,baby
20,21,22,longtemps,long time
21,22,24,vont,will
22,23,25,pendant,while
23,24,27,aucune,any
24,25,28,place,square
25,26,29,parle,speak
26,27,30,compris,understood
27,28,31,savais,knew
28,29,32,étaient,were
29,30,33,attention,Warning
30,31,34,voici,here is
31,32,36,affaire,case
32,33,37,donner,give
33,34,38,type,type
34,35,39,leurs,their
35,36,40,donné,given
36,37,41,train,train
37,39,43,endroit,place
38,40,44,yeux,eyes
39,41,45,façon,way
40,42,46,écoute,listen
41,43,47,dont,whose
42,44,49,premier,first
43,45,50,perdu,lost
44,46,51,main,hand
45,47,52,première,first
46,48,53,côté,side
47,50,55,vieux,old
48,51,56,sois,be
49,53,59,tellement,so much
50,54,60,enfant,child
51,55,61,point,point
52,56,63,suite,after
53,57,64,pardon,sorry
54,59,66,devant,in front of
55,60,67,vers,towards
56,61,69,demandé,request
57,63,71,mis,placed
58,64,72,belle,beautiful
59,65,73,droit,law
60,66,74,aimerais,would like to
61,68,76,mari,husband
62,69,77,cause,cause
63,70,78,enfin,finally
64,71,79,espère,hope
65,72,80,eau,water
66,73,81,attendez,Wait
67,74,82,parti,left
68,75,83,nouvelle,new
69,77,85,arrêter,Stop
70,78,86,dirait,would say
71,79,87,terre,Earth
72,80,88,compte,account
73,81,89,donne,given
74,82,90,loin,far
75,83,91,fin,end
76,85,93,gros,large
77,86,94,plutôt,rather
78,87,95,aura,will have
